company_id,company,empathy,output_key,output_value
northforge,Northforge Components Ltd,business,score,1.0
northforge,Northforge Components Ltd,business,evidenceWeightedConfidence,0.72
northforge,Northforge Components Ltd,business,answered,6
northforge,Northforge Components Ltd,business,total,16
northforge,Northforge Components Ltd,business,evidenceSupported,6
northforge,Northforge Components Ltd,business,needsReview,0
northforge,Northforge Components Ltd,business,strengths,[]
northforge,Northforge Components Ltd,business,weakAreas,"[""Strategy and Purpose"", ""Finance and Investment"", ""Operations and Delivery"", ""Stakeholder Power"", ""Capability and Behaviour"", ""Equity and Wellbeing""]"
northforge,Northforge Components Ltd,business,evidenceGaps,[]
northforge,Northforge Components Ltd,business,contradictions,[]
northforge,Northforge Components Ltd,business,problemSignals,"[{""title"": ""Strategy and Purpose may need deeper mapping"", ""description"": ""Strategy and Purpose is marked as light with medium confidence."", ""source"": ""Business question 1"", ""confidence"": ""medium""}, {""title"": ""Finance and Investment may need deeper mapping"", ""description"": ""Finance and Investment is marked as light with medium confidence."", ""source"": ""Business question 2"", ""confidence"": ""medium""}, {""title"": ""Operations and Delivery may need deeper mapping"", ""description"": ""Operations and Delivery is marked as light with medium confidence."", ""source"": ""Business question 3"", ""confidence"": ""medium""}, {""title"": ""Stakeholder Power may need deeper mapping"", ""description"": ""Stakeholder Power is marked as light with medium confidence."", ""source"": ""Business question 17"", ""confidence"": ""medium""}, {""title"": ""Capability and Behaviour may need deeper mapping"", ""description"": ""Capability and Behaviour is marked as light with medium confidence."", ""source"": ""Business question 18"", ""confidence"": ""medium""}, {""title"": ""Equity and Wellbeing may need deeper mapping"", ""description"": ""Equity and Wellbeing is marked as light with medium confidence."", ""source"": ""Business question 19"", ""confidence"": ""medium""}]"
northforge,Northforge Components Ltd,business,impactJourneyQuestions,"[""Where does strategy and purpose show up across the value chain, process or service journey?"", ""Where does finance and investment show up across the value chain, process or service journey?"", ""Where does operations and delivery show up across the value chain, process or service journey?"", ""Where does stakeholder power show up across the value chain, process or service journey?""]"
northforge,Northforge Components Ltd,business,humanEmpathyRecommendations,"[""Use Human Empathy to test whether business maturity is experienced consistently by staff and stakeholders.""]"
