company_id,company,pathway_id,title,problem_definition,desired_outcome,decision_outcome,decision_rationale,selected_intervention,prototype_type,unknowns,owner,experiment_owner,review_date,completed,horizons
northforge,Northforge Components Ltd,northforge-pathway-1,Purchased-metal emissions,Purchased-metal emissions matters for Northforge Components Ltd because identify where to focus carbon-reduction activity.,Supplier and material evidence,experiment,A bounded prototype reduces uncertainty before wider implementation.,Test one low-carbon aluminium specification on a limited product batch.,behaviour,"[""Evidence limitations remain""]",Head of Engineering,Head of Engineering,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Head of Engineering"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Head of Engineering"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Head of Engineering"", ""decisionDate"": """"}]"
lumathread,LumaThread Apparel,lumathread-pathway-1,Supply-chain traceability,Supply-chain traceability matters for LumaThread Apparel because improve traceability and reduce environmental and labour risk.,"Traceability, labour and claims",experiment,A bounded prototype reduces uncertainty before wider implementation.,Apply a Green Spectrum material-decision canvas to one seasonal collection.,behaviour,"[""Evidence limitations remain""]",Head of Buying,Head of Buying,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Head of Buying"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Head of Buying"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Head of Buying"", ""decisionDate"": """"}]"
evergreen,Evergreen Bank,evergreen-pathway-1,Climate-risk integration,Financed emissions evidence matters for Evergreen Bank because integrate sustainability into lending decisions.,Finance and lending decisions,experiment,A bounded prototype reduces uncertainty before wider implementation.,Pilot a decision prompt in SME loan review.,behaviour,"[""Evidence limitations remain""]",Head of Credit Risk,Head of Credit Risk,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Head of Credit Risk"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Head of Credit Risk"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Head of Credit Risk"", ""decisionDate"": """"}]"
civiccare,CivicCare Health Trust,civiccare-pathway-1,Anaesthetic gases,Anaesthetic gases matters for CivicCare Health Trust because reduce environmental impact without compromising patient care.,Clinically safe emissions intervention,experiment,A bounded prototype reduces uncertainty before wider implementation.,Provide clinicians with anaesthetic-impact feedback in one theatre group.,behaviour,"[""Evidence limitations remain""]",Clinical Sustainability Lead,Clinical Sustainability Lead,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Clinical Sustainability Lead"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Clinical Sustainability Lead"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Clinical Sustainability Lead"", ""decisionDate"": """"}]"
terrabite,TerraBite Foods,terrabite-pathway-1,Farm water and soil resilience,Farm water and soil resilience matters for TerraBite Foods because improve agricultural resilience and reduce nature impacts.,"Farm, water and nature resilience",experiment,A bounded prototype reduces uncertainty before wider implementation.,Pilot soil-health practice support with one supplier group.,behaviour,"[""Evidence limitations remain""]",Agricultural Supply Lead,Agricultural Supply Lead,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Agricultural Supply Lead"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Agricultural Supply Lead"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Agricultural Supply Lead"", ""decisionDate"": """"}]"
urbanrise,UrbanRise Developments,urbanrise-pathway-1,Early design carbon lock-in,Early design carbon lock-in matters for UrbanRise Developments because reduce embodied carbon and improve community value.,Early-stage design leverage,experiment,A bounded prototype reduces uncertainty before wider implementation.,Add a concept-design decision checkpoint on one live project.,behaviour,"[""Evidence limitations remain""]",Design Director,Design Director,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Design Director"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Design Director"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Design Director"", ""decisionDate"": """"}]"
cloudspring,CloudSpring Technologies,cloudspring-pathway-1,Cloud impact evidence,Cloud impact evidence matters for CloudSpring Technologies because understand environmental impact of digital products.,Digital and cloud impact evidence,experiment,A bounded prototype reduces uncertainty before wider implementation.,Add compute and estimated energy feedback to one engineering team workflow.,behaviour,"[""Evidence limitations remain""]",Platform Engineering Lead,Platform Engineering Lead,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Platform Engineering Lead"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Platform Engineering Lead"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Platform Engineering Lead"", ""decisionDate"": """"}]"
loophome,LoopHome Circular Services,loophome-pathway-1,Validate circular impact,Validate circular impact matters for LoopHome Circular Services because verify whether the circular business model creates genuine environmental benefit.,Validate circular impact,experiment,A bounded prototype reduces uncertainty before wider implementation.,Test a longer minimum subscription period with one customer segment.,behaviour,"[""Evidence limitations remain""]",Customer Operations Lead,Customer Operations Lead,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Customer Operations Lead"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Customer Operations Lead"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Customer Operations Lead"", ""decisionDate"": """"}]"
citymotion,CityMotion Transit Authority,citymotion-pathway-1,Fair fleet transition,Fair fleet transition matters for CityMotion Transit Authority because develop a fair low-carbon fleet transition.,Just fleet-transition experiment,experiment,A bounded prototype reduces uncertainty before wider implementation.,Deploy electric buses on one route with safeguards.,behaviour,[],Fleet Transition Programme Lead,Fleet Transition Programme Lead,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Fleet Transition Programme Lead"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Fleet Transition Programme Lead"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Fleet Transition Programme Lead"", ""decisionDate"": """"}]"
medigen,Medigen Laboratories,medigen-pathway-1,Controlled solvent substitution,Controlled solvent substitution matters for Medigen Laboratories because reduce laboratory impact while preserving safety and product quality.,Controlled laboratory substitution,experiment,A bounded prototype reduces uncertainty before wider implementation.,Test one solvent substitution in a controlled research workflow.,product,"[""Evidence limitations remain""]",Laboratory Operations Lead,Laboratory Operations Lead,2026-09-07,True,"[{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Laboratory Operations Lead"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Laboratory Operations Lead"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Laboratory Operations Lead"", ""decisionDate"": """"}]"
