company_id,company,problem_id,title,description,cluster,status,selected,rank,spectrum,cynefin,overall,impact,urgency,strategic,stakeholder,influence,confidence,evidence,readiness,effort,leverage,unintended,score_trace,evidence_trace
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,Purchased-metal emissions matters for Northforge Components Ltd because identify where to focus carbon-reduction activity.,Materials and suppliers,selected,True,1,light,complex,73,5,4,5,4,3,2,2,3,4,5,3,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 73, ""contributions"": [{""factor"": ""impact"", ""score"": 5, ""weight"": 20, ""contribution"": 100, ""direction"": ""raises"", ""explanation"": ""Impact is very high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Leverage is very high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Readiness is moderate and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 4, ""weight"": 5, ""contribution"": 20, ""direction"": ""raises"", ""explanation"": ""Stakeholder is high and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 4, ""weight"": 10, ""contribution"": -40, ""direction"": ""lowers"", ""explanation"": ""Effort is high and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""confidence"", ""effort""]}","{""business"": [""supplier""], ""human"": [], ""planetary"": [""carbon"", ""emissions"", ""material""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-1"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""human""], ""integrationStatus"": ""needs explicit review""}"
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,Factory energy efficiency matters for Northforge Components Ltd because identify where to focus carbon-reduction activity.,Operations,selected,True,2,mid,complicated,68,3,4,4,2,5,5,5,4,3,3,2,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 68, ""contributions"": [{""factor"": ""impact"", ""score"": 3, ""weight"": 20, ""contribution"": 60, ""direction"": ""neutral"", ""explanation"": ""Impact is moderate and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Strategic is high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 3, ""weight"": 15, ""contribution"": 45, ""direction"": ""neutral"", ""explanation"": ""Leverage is moderate and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Influence is very high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Readiness is high and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Confidence is very high and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 2, ""weight"": 5, ""contribution"": 10, ""direction"": ""limits"", ""explanation"": ""Stakeholder is low and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 3, ""weight"": 10, ""contribution"": -30, ""direction"": ""neutral"", ""explanation"": ""Effort is moderate and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""influence""], ""mainConstraints"": [""stakeholder""]}","{""business"": [""operations""], ""human"": [], ""planetary"": [""carbon"", ""energy""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-2"", ""sourceStages"": [], ""evidenceSummary"": ""high"", ""confidence"": 5, ""missingPerspectives"": [""human""], ""integrationStatus"": ""needs explicit review""}"
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,Employee engagement matters for Northforge Components Ltd because identify where to focus carbon-reduction activity.,People,selected,True,5,mid,complicated,54,2,2,3,3,4,3,3,4,2,3,2,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 54, ""contributions"": [{""factor"": ""impact"", ""score"": 2, ""weight"": 20, ""contribution"": 40, ""direction"": ""limits"", ""explanation"": ""Impact is low and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 3, ""weight"": 15, ""contribution"": 45, ""direction"": ""neutral"", ""explanation"": ""Strategic is moderate and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 3, ""weight"": 15, ""contribution"": 45, ""direction"": ""neutral"", ""explanation"": ""Leverage is moderate and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Urgency is low and carries weight 10.""}, {""factor"": ""influence"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Influence is high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Readiness is high and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Confidence is moderate and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Stakeholder is moderate and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 2, ""weight"": 10, ""contribution"": -20, ""direction"": ""supports feasibility"", ""explanation"": ""Effort is low and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""strategic"", ""leverage"", ""impact""], ""mainConstraints"": [""impact"", ""urgency""]}","{""business"": [], ""human"": [""employee""], ""planetary"": [""carbon""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-3"", ""sourceStages"": [], ""evidenceSummary"": ""medium"", ""confidence"": 3, ""missingPerspectives"": [""business""], ""integrationStatus"": ""needs explicit review""}"
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,Supplier data quality matters for Northforge Components Ltd because identify where to focus carbon-reduction activity.,Evidence,confirmed,False,3,light,complex,68,4,4,5,3,3,2,2,2,3,5,2,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 68, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Leverage is very high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Readiness is low and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Stakeholder is moderate and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 3, ""weight"": 10, ""contribution"": -30, ""direction"": ""neutral"", ""explanation"": ""Effort is moderate and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""readiness"", ""confidence""]}","{""business"": [""supplier"", ""quality""], ""human"": [], ""planetary"": [""carbon""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-4"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""human""], ""integrationStatus"": ""needs explicit review""}"
northforge,Northforge Components Ltd,northforge-problem-5,Product redesign constraints,Product redesign constraints matters for Northforge Components Ltd because identify where to focus carbon-reduction activity.,Innovation,confirmed,False,4,mid,complex,57,4,3,4,2,3,3,3,2,5,4,3,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 57, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Strategic is high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Leverage is high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Urgency is moderate and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Readiness is low and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Confidence is moderate and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 2, ""weight"": 5, ""contribution"": 10, ""direction"": ""limits"", ""explanation"": ""Stakeholder is low and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 5, ""weight"": 10, ""contribution"": -50, ""direction"": ""lowers"", ""explanation"": ""Effort is very high and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""readiness"", ""stakeholder"", ""effort""]}","{""business"": [], ""human"": [], ""planetary"": [""carbon""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-5"", ""sourceStages"": [], ""evidenceSummary"": ""medium"", ""confidence"": 3, ""missingPerspectives"": [""business"", ""human""], ""integrationStatus"": ""needs explicit review""}"
lumathread,LumaThread Apparel,lumathread-problem-1,Supply-chain traceability,Supply-chain traceability matters for LumaThread Apparel because improve traceability and reduce environmental and labour risk.,Traceability,selected,True,2,light,complex,74,5,5,5,5,3,2,2,2,4,5,4,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 74, ""contributions"": [{""factor"": ""impact"", ""score"": 5, ""weight"": 20, ""contribution"": 100, ""direction"": ""raises"", ""explanation"": ""Impact is very high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Leverage is very high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Urgency is very high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Readiness is low and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 5, ""weight"": 5, ""contribution"": 25, ""direction"": ""raises"", ""explanation"": ""Stakeholder is very high and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 4, ""weight"": 10, ""contribution"": -40, ""direction"": ""lowers"", ""explanation"": ""Effort is high and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""readiness"", ""confidence"", ""effort""]}","{""business"": [""risk""], ""human"": [""labour""], ""planetary"": [], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""lumathread-problem-1"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""planetary""], ""integrationStatus"": ""needs explicit review""}"
lumathread,LumaThread Apparel,lumathread-problem-2,Labour conditions,Labour conditions matters for LumaThread Apparel because improve traceability and reduce environmental and labour risk.,People,selected,True,4,light,complex,70,5,4,5,5,2,2,2,2,4,5,4,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 70, ""contributions"": [{""factor"": ""impact"", ""score"": 5, ""weight"": 20, ""contribution"": 100, ""direction"": ""raises"", ""explanation"": ""Impact is very high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Leverage is very high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Influence is low and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Readiness is low and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 5, ""weight"": 5, ""contribution"": 25, ""direction"": ""raises"", ""explanation"": ""Stakeholder is very high and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 4, ""weight"": 10, ""contribution"": -40, ""direction"": ""lowers"", ""explanation"": ""Effort is high and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""influence"", ""readiness"", ""confidence"", ""effort""]}","{""business"": [""risk""], ""human"": [""labour""], ""planetary"": [], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""lumathread-problem-2"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""planetary""], ""integrationStatus"": ""needs explicit review""}"
lumathread,LumaThread Apparel,lumathread-problem-3,Overproduction and returns,Overproduction and returns matters for LumaThread Apparel because improve traceability and reduce environmental and labour risk.,Commercial model,selected,True,3,mid,complex,71,4,4,4,4,5,3,3,3,3,4,3,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 71, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Strategic is high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Leverage is high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Influence is very high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Readiness is moderate and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Confidence is moderate and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 4, ""weight"": 5, ""contribution"": 20, ""direction"": ""raises"", ""explanation"": ""Stakeholder is high and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 3, ""weight"": 10, ""contribution"": -30, ""direction"": ""neutral"", ""explanation"": ""Effort is moderate and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": []}","{""business"": [""risk""], ""human"": [""labour""], ""planetary"": [], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""lumathread-problem-3"", ""sourceStages"": [], ""evidenceSummary"": ""medium"", ""confidence"": 3, ""missingPerspectives"": [""planetary""], ""integrationStatus"": ""needs explicit review""}"
lumathread,LumaThread Apparel,lumathread-problem-4,Unsupported claims,Unsupported claims matters for LumaThread Apparel because improve traceability and reduce environmental and labour risk.,Governance,confirmed,False,1,light,complex,76,4,5,5,4,5,2,2,3,2,4,4,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 76, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Leverage is high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Urgency is very high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Influence is very high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Readiness is moderate and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 4, ""weight"": 5, ""contribution"": 20, ""direction"": ""raises"", ""explanation"": ""Stakeholder is high and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 2, ""weight"": 10, ""contribution"": -20, ""direction"": ""supports feasibility"", ""explanation"": ""Effort is low and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""confidence""]}","{""business"": [""risk""], ""human"": [""labour""], ""planetary"": [], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""lumathread-problem-4"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""planetary""], ""integrationStatus"": ""needs explicit review""}"
lumathread,LumaThread Apparel,lumathread-problem-5,Material selection,Material selection matters for LumaThread Apparel because improve traceability and reduce environmental and labour risk.,Materials,confirmed,False,5,light,complex,64,4,3,4,3,4,2,2,3,3,4,3,"{""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 64, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Strategic is high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Leverage is high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Urgency is moderate and carries weight 10.""}, {""factor"": ""influence"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Influence is high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Readiness is moderate and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Stakeholder is moderate and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 3, ""weight"": 10, ""contribution"": -30, ""direction"": ""neutral"", ""explanation"": ""Effort is moderate and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""confidence""]}","{""business"": [""risk""], ""human"": [""labour""], ""planetary"": [""material""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""lumathread-problem-5"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [], ""integrationStatus"": ""balanced""}"
