company_id,company,id,source,target,type,confidence,description
northforge,Northforge Components Ltd,northforge-rel-2,northforge-stage-1,northforge-stage-2,Dependency,Medium,"Raw materials creates a dependency affecting Supplier selection, especially around material source and data quality."
northforge,Northforge Components Ltd,northforge-rel-3,northforge-stage-2,northforge-stage-3,Delay,Low,"Supplier selection creates a delay affecting Transport, especially around fuel use and emissions."
northforge,Northforge Components Ltd,northforge-rel-4,northforge-stage-3,northforge-stage-4,Trade-off,High,"Transport creates a trade-off affecting Manufacturing, especially around energy use, scrap and lubricants."
northforge,Northforge Components Ltd,northforge-rel-5,northforge-stage-4,northforge-stage-5,Bottleneck,High,"Manufacturing creates a bottleneck affecting Quality control, especially around material substitution constraints."
northforge,Northforge Components Ltd,northforge-rel-6,northforge-stage-5,northforge-stage-6,Feedback loop,Low,"Quality control creates a feedback loop affecting Customer use, especially around efficiency implications."
northforge,Northforge Components Ltd,northforge-rel-7,northforge-stage-6,northforge-stage-7,Risk transfer,Medium,"Customer use creates a risk transfer affecting End of life, especially around recovery potential."
northforge,Northforge Components Ltd,northforge-rel-feedback-final,northforge-stage-6,northforge-stage-2,Feedback loop,Medium,Learning from Customer use should feed back into Supplier selection decisions before scaling.
lumathread,LumaThread Apparel,lumathread-rel-2,lumathread-stage-1,lumathread-stage-2,Dependency,Low,"Fibre production creates a dependency affecting Textile processing, especially around chemical, water and energy impacts."
lumathread,LumaThread Apparel,lumathread-rel-3,lumathread-stage-2,lumathread-stage-3,Delay,Medium,"Textile processing creates a delay affecting Garment manufacturing, especially around labour conditions and wages."
lumathread,LumaThread Apparel,lumathread-rel-4,lumathread-stage-3,lumathread-stage-4,Trade-off,Medium,"Garment manufacturing creates a trade-off affecting Buying and planning, especially around overproduction and supplier pressure."
lumathread,LumaThread Apparel,lumathread-rel-5,lumathread-stage-4,lumathread-stage-5,Bottleneck,Low,"Buying and planning creates a bottleneck affecting Transport, especially around air freight emissions."
lumathread,LumaThread Apparel,lumathread-rel-6,lumathread-stage-5,lumathread-stage-6,Feedback loop,Medium,"Transport creates a feedback loop affecting Retail and returns, especially around packaging, unsold goods and returns."
lumathread,LumaThread Apparel,lumathread-rel-7,lumathread-stage-6,lumathread-stage-7,Risk transfer,Low,"Retail and returns creates a risk transfer affecting Use and end of life, especially around durability and poor recycling."
lumathread,LumaThread Apparel,lumathread-rel-feedback-final,lumathread-stage-6,lumathread-stage-2,Feedback loop,Medium,Learning from Retail and returns should feed back into Textile processing decisions before scaling.
evergreen,Evergreen Bank,evergreen-rel-2,evergreen-stage-1,evergreen-stage-2,Dependency,Medium,"Product design creates a dependency affecting Customer assessment, especially around fairness and evidence burden."
evergreen,Evergreen Bank,evergreen-rel-3,evergreen-stage-2,evergreen-stage-3,Delay,High,"Customer assessment creates a delay affecting Credit decision, especially around financed emissions and risk."
evergreen,Evergreen Bank,evergreen-rel-4,evergreen-stage-3,evergreen-stage-4,Trade-off,Medium,"Credit decision creates a trade-off affecting Loan conditions, especially around transition support quality."
evergreen,Evergreen Bank,evergreen-rel-5,evergreen-stage-4,evergreen-stage-5,Bottleneck,Medium,"Loan conditions creates a bottleneck affecting Monitoring, especially around data quality and accountability."
evergreen,Evergreen Bank,evergreen-rel-6,evergreen-stage-5,evergreen-stage-6,Feedback loop,Medium,"Monitoring creates a feedback loop affecting Renewal, especially around opportunity to improve terms."
evergreen,Evergreen Bank,evergreen-rel-7,evergreen-stage-6,evergreen-stage-7,Risk transfer,High,"Renewal creates a risk transfer affecting Reporting, especially around investor and regulatory scrutiny."
evergreen,Evergreen Bank,evergreen-rel-feedback-final,evergreen-stage-6,evergreen-stage-2,Feedback loop,Medium,Learning from Renewal should feed back into Customer assessment decisions before scaling.
civiccare,CivicCare Health Trust,civiccare-rel-2,civiccare-stage-1,civiccare-stage-2,Dependency,Medium,"Procurement creates a dependency affecting Patient travel, especially around transport emissions and equity."
civiccare,CivicCare Health Trust,civiccare-rel-3,civiccare-stage-2,civiccare-stage-3,Delay,Medium,"Patient travel creates a delay affecting Clinical treatment, especially around high climate impact and safety constraints."
civiccare,CivicCare Health Trust,civiccare-rel-4,civiccare-stage-3,civiccare-stage-4,Trade-off,High,"Clinical treatment creates a trade-off affecting Facilities, especially around energy and water impacts."
civiccare,CivicCare Health Trust,civiccare-rel-5,civiccare-stage-4,civiccare-stage-5,Bottleneck,Medium,"Facilities creates a bottleneck affecting Waste, especially around hazardous waste."
civiccare,CivicCare Health Trust,civiccare-rel-6,civiccare-stage-5,civiccare-stage-6,Feedback loop,Medium,"Waste creates a feedback loop affecting Community services, especially around travel and access trade-offs."
civiccare,CivicCare Health Trust,civiccare-rel-7,civiccare-stage-6,civiccare-stage-7,Risk transfer,Low,"Community services creates a risk transfer affecting Supplier management, especially around upstream evidence quality."
civiccare,CivicCare Health Trust,civiccare-rel-feedback-final,civiccare-stage-6,civiccare-stage-2,Feedback loop,Medium,Learning from Community services should feed back into Patient travel decisions before scaling.
terrabite,TerraBite Foods,terrabite-rel-2,terrabite-stage-1,terrabite-stage-2,Dependency,Low,"Farming creates a dependency affecting Aggregation, especially around loss of traceability."
terrabite,TerraBite Foods,terrabite-rel-3,terrabite-stage-2,terrabite-stage-3,Delay,Medium,"Aggregation creates a delay affecting Processing, especially around energy, water and food loss."
terrabite,TerraBite Foods,terrabite-rel-4,terrabite-stage-3,terrabite-stage-4,Trade-off,High,"Processing creates a trade-off affecting Packaging, especially around plastic and board impacts."
terrabite,TerraBite Foods,terrabite-rel-5,terrabite-stage-4,terrabite-stage-5,Bottleneck,Medium,"Packaging creates a bottleneck affecting Distribution, especially around refrigeration and transport."
terrabite,TerraBite Foods,terrabite-rel-6,terrabite-stage-5,terrabite-stage-6,Feedback loop,Medium,"Distribution creates a feedback loop affecting Retail, especially around waste and buyer influence."
terrabite,TerraBite Foods,terrabite-rel-7,terrabite-stage-6,terrabite-stage-7,Risk transfer,Low,"Retail creates a risk transfer affecting Consumption, especially around nutrition and food waste."
