company_id,company,pathway_id,experiment_title,hypothesis,learning_objective,method,decision_threshold,start_date,end_date,status,participants,risk,expected_direction
northforge,Northforge Components Ltd,northforge-pathway-1,Purchased-metal emissions,A low-carbon aluminium supplier can reduce embodied emissions without unacceptable cost or quality impacts.,Supplier and material evidence,Test one low-carbon aluminium specification on a limited product batch.,At least 25 percent embodied-carbon reduction with less than 5 percent cost increase and no quality failure,2026-07-13,2026-09-07,draft,"[""Procurement"", ""Quality"", ""Sustainability"", ""Supplier""]",Certification or quality failure,Supplier and material evidence
lumathread,LumaThread Apparel,lumathread-pathway-1,Supply-chain traceability,Verified material-impact information will improve sourcing decisions without delaying the product cycle.,"Traceability, labour and claims",Apply a Green Spectrum material-decision canvas to one seasonal collection.,Improved traceability and sourcing confidence without collection delay,2026-07-13,2026-09-07,draft,"[""Design"", ""Buying"", ""Sustainability"", ""Two suppliers""]",Teams avoid use because it slows buying decisions,"Traceability, labour and claims"
evergreen,Evergreen Bank,evergreen-pathway-1,Climate-risk integration,A sustainability decision prompt during SME loan review improves climate-risk consideration without unfair exclusion.,Finance and lending decisions,Pilot a decision prompt in SME loan review.,Improved sustainability evidence with no adverse fairness pattern,2026-07-13,2026-09-07,draft,"[""Relationship managers"", ""Credit risk"", ""Sustainability"", ""Compliance""]",Prompt becomes a compliance tick-box or creates exclusion bias,Finance and lending decisions
civiccare,CivicCare Health Trust,civiccare-pathway-1,Anaesthetic gases,Anaesthetic-impact feedback will reduce high-impact gas use without affecting patient outcomes.,Clinically safe emissions intervention,Provide clinicians with anaesthetic-impact feedback in one theatre group.,Reduced high-impact gas use with no patient safety issue,2026-07-13,2026-09-07,draft,"[""Anaesthetists"", ""Clinical governance"", ""Estates"", ""Sustainability""]",Clinical safety or acceptance concern,Clinically safe emissions intervention
terrabite,TerraBite Foods,terrabite-pathway-1,Farm water and soil resilience,Supporting a small supplier group with soil-health practices improves resilience and reduces fertiliser dependency.,"Farm, water and nature resilience",Pilot soil-health practice support with one supplier group.,Improved resilience indicators without reducing farmer income,2026-07-13,2026-09-07,draft,"[""Farmers"", ""Procurement"", ""Agronomist"", ""Sustainability""]",Supplier burden or low evidence quality,"Farm, water and nature resilience"
urbanrise,UrbanRise Developments,urbanrise-pathway-1,Early design carbon lock-in,A carbon and social-value checkpoint during concept design improves outcomes without unacceptable delay.,Early-stage design leverage,Add a concept-design decision checkpoint on one live project.,Better design decisions without material planning delay,2026-07-13,2026-09-07,draft,"[""Design"", ""Commercial"", ""Planning"", ""Community engagement""]",Checkpoint is bypassed because of programme pressure,Early-stage design leverage
cloudspring,CloudSpring Technologies,cloudspring-pathway-1,Cloud impact evidence,Showing compute-cost and estimated energy information during development reduces unnecessary resource use.,Digital and cloud impact evidence,Add compute and estimated energy feedback to one engineering team workflow.,Reduced avoidable compute with no product performance harm,2026-07-13,2026-09-07,draft,"[""Engineering"", ""Product"", ""Cloud procurement"", ""Sustainability""]",Energy estimates are too uncertain to guide decisions,Digital and cloud impact evidence
loophome,LoopHome Circular Services,loophome-pathway-1,Validate circular impact,Extending the minimum customer subscription period reduces transport and replacement impacts without excessive customer loss.,Validate circular impact,Test a longer minimum subscription period with one customer segment.,Lower transport and replacement impact without unacceptable churn,2026-07-13,2026-09-07,draft,"[""Customer operations"", ""Repair"", ""Logistics"", ""Finance""]",Customer dissatisfaction or reduced accessibility,Validate circular impact
citymotion,CityMotion Transit Authority,citymotion-pathway-1,Fair fleet transition,A small electric-bus deployment on one route reduces emissions and pollution without reducing reliability or accessibility.,Just fleet-transition experiment,Deploy electric buses on one route with safeguards.,Emissions reduction without reliability or accessibility decline,2026-07-13,2026-09-07,draft,"[""Operations"", ""Maintenance"", ""Drivers"", ""Accessibility panel""]",Reliability or accessibility worsens,Just fleet-transition experiment
medigen,Medigen Laboratories,medigen-pathway-1,Controlled solvent substitution,Substituting one laboratory solvent in a controlled research workflow reduces hazardous impact without reducing research quality or safety.,Controlled laboratory substitution,Test one solvent substitution in a controlled research workflow.,Hazard reduction without research quality or safety failure,2026-07-13,2026-09-07,draft,"[""Scientists"", ""Safety"", ""Quality"", ""Sustainability""]","Safety, quality or regulatory issue",Controlled laboratory substitution
