company_id,company,analysis_key,analysis_value
northforge,Northforge Components Ltd,hotspots,"[{""id"": ""hotspot-northforge-stage-1"", ""stageId"": ""northforge-stage-1"", ""title"": ""Raw materials hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-northforge-stage-2"", ""stageId"": ""northforge-stage-2"", ""title"": ""Supplier selection hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-northforge-stage-3"", ""stageId"": ""northforge-stage-3"", ""title"": ""Transport hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 1 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-northforge-stage-4"", ""stageId"": ""northforge-stage-4"", ""title"": ""Manufacturing hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 0 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""medium"", ""confidence"": ""medium""}, {""id"": ""hotspot-northforge-stage-5"", ""stageId"": ""northforge-stage-5"", ""title"": ""Quality control hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 0 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""medium"", ""confidence"": ""medium""}, {""id"": ""hotspot-northforge-stage-6"", ""stageId"": ""northforge-stage-6"", ""title"": ""Customer use hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 1 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-northforge-stage-7"", ""stageId"": ""northforge-stage-7"", ""title"": ""End of life hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}]"
northforge,Northforge Components Ltd,leveragePoints,"[{""id"": ""leverage-northforge-rel-2"", ""relationshipId"": ""northforge-rel-2"", ""title"": ""Raw materials to Supplier selection"", ""description"": ""Raw materials affects Supplier selection through trade-off."", ""leverageType"": ""trade-off"", ""rationale"": ""Suggested because the map shows a trade-off that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Trade-off"", ""nonAdjacent"": false}, {""id"": ""leverage-northforge-rel-3"", ""relationshipId"": ""northforge-rel-3"", ""title"": ""Supplier selection to Transport"", ""description"": ""Supplier selection affects Transport through delay."", ""leverageType"": ""delay"", ""rationale"": ""Suggested because the map shows a delay that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""high"", ""confidence"": ""low"", ""relationshipType"": ""Delay"", ""nonAdjacent"": false}, {""id"": ""leverage-northforge-rel-4"", ""relationshipId"": ""northforge-rel-4"", ""title"": ""Transport to Manufacturing"", ""description"": ""Transport affects Manufacturing through trade-off."", ""leverageType"": ""trade-off"", ""rationale"": ""Suggested because the map shows a trade-off that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""low"", ""confidence"": ""high"", ""relationshipType"": ""Trade-off"", ""nonAdjacent"": false}, {""id"": ""leverage-northforge-rel-5"", ""relationshipId"": ""northforge-rel-5"", ""title"": ""Manufacturing to Quality control"", ""description"": ""Manufacturing affects Quality control through bottleneck."", ""leverageType"": ""bottleneck"", ""rationale"": ""Suggested because the map shows a bottleneck that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""high"", ""uncertainty"": ""low"", ""confidence"": ""high"", ""relationshipType"": ""Bottleneck"", ""nonAdjacent"": false}, {""id"": ""leverage-northforge-rel-6"", ""relationshipId"": ""northforge-rel-6"", ""title"": ""Quality control to Customer use"", ""description"": ""Quality control affects Customer use through feedback loop."", ""leverageType"": ""feedback_loop"", ""rationale"": ""Suggested because the map shows a feedback loop that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""high"", ""uncertainty"": ""high"", ""confidence"": ""low"", ""relationshipType"": ""Feedback loop"", ""nonAdjacent"": false}, {""id"": ""leverage-northforge-rel-7"", ""relationshipId"": ""northforge-rel-7"", ""title"": ""Customer use to End of life"", ""description"": ""Customer use affects End of life through risk transfer."", ""leverageType"": ""risk_transfer"", ""rationale"": ""Suggested because the map shows a risk transfer that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Risk transfer"", ""nonAdjacent"": false}, {""id"": ""leverage-northforge-rel-feedback-final"", ""relationshipId"": ""northforge-rel-feedback-final"", ""title"": ""Customer use to Supplier selection"", ""description"": ""Customer use affects Supplier selection through feedback loop."", ""leverageType"": ""feedback_loop"", ""rationale"": ""Suggested because the map shows a feedback loop that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""high"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Feedback loop"", ""nonAdjacent"": true}]"
northforge,Northforge Components Ltd,problemSignals,"[{""id"": ""impact-problem-northforge-stage-1"", ""stageId"": ""northforge-stage-1"", ""title"": ""Raw materials may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Raw materials."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-northforge-stage-2"", ""stageId"": ""northforge-stage-2"", ""title"": ""Supplier selection may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Supplier selection."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-northforge-stage-3"", ""stageId"": ""northforge-stage-3"", ""title"": ""Transport may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Transport."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 1 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-northforge-stage-4"", ""stageId"": ""northforge-stage-4"", ""title"": ""Manufacturing may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Manufacturing."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 0 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-northforge-stage-5"", ""stageId"": ""northforge-stage-5"", ""title"": ""Quality control may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Quality control."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 0 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-northforge-stage-6"", ""stageId"": ""northforge-stage-6"", ""title"": ""Customer use may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Customer use."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 1 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-northforge-stage-7"", ""stageId"": ""northforge-stage-7"", ""title"": ""End of life may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at End of life."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-stakeholder-power-may-need-deeper-human-enquiry"", ""stageId"": null, ""title"": ""Stakeholder Power may need deeper human enquiry"", ""description"": ""Stakeholder Power is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Human question 17 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-capability-and-behaviour-may-need-deeper-human-enquiry"", ""stageId"": null, ""title"": ""Capability and Behaviour may need deeper human enquiry"", ""description"": ""Capability and Behaviour is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Human question 18 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-equity-and-wellbeing-may-need-deeper-human-enquiry"", ""stageId"": null, ""title"": ""Equity and Wellbeing may need deeper human enquiry"", ""description"": ""Equity and Wellbeing is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Human question 19 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-environmental-impact-may-need-ecological-systems-mapping"", ""stageId"": null, ""title"": ""Environmental Impact may need ecological systems mapping"", ""description"": ""Environmental Impact is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Planetary question 30 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-natural-dependencies-may-need-ecological-systems-mapping"", ""stageId"": null, ""title"": ""Natural Dependencies may need ecological systems mapping"", ""description"": ""Natural Dependencies is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Planetary question 31 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-evidence-and-limits-may-need-ecological-systems-mapping"", ""stageId"": null, ""title"": ""Evidence and Limits may need ecological systems mapping"", ""description"": ""Evidence and Limits is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Planetary question 32 and must be checked against the journey map."", ""confidence"": ""medium""}]"
northforge,Northforge Components Ltd,evidenceGaps,[]
northforge,Northforge Components Ltd,priorityQuestions,"[""Where do people experience the effects of stakeholder power across the journey or value chain?"", ""Where do people experience the effects of capability and behaviour across the journey or value chain?"", ""Where do people experience the effects of equity and wellbeing across the journey or value chain?"", ""Where does environmental impact appear across lifecycle stages, places, suppliers or material flows?"", ""Where does natural dependencies appear across lifecycle stages, places, suppliers or material flows?"", ""Where does evidence and limits appear across lifecycle stages, places, suppliers or material flows?""]"
northforge,Northforge Components Ltd,completionPercentage,100
northforge,Northforge Components Ltd,readiness,ready_to_proceed
lumathread,LumaThread Apparel,hotspots,"[{""id"": ""hotspot-lumathread-stage-1"", ""stageId"": ""lumathread-stage-1"", ""title"": ""Fibre production hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-lumathread-stage-2"", ""stageId"": ""lumathread-stage-2"", ""title"": ""Textile processing hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-lumathread-stage-3"", ""stageId"": ""lumathread-stage-3"", ""title"": ""Garment manufacturing hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-lumathread-stage-4"", ""stageId"": ""lumathread-stage-4"", ""title"": ""Buying and planning hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-lumathread-stage-5"", ""stageId"": ""lumathread-stage-5"", ""title"": ""Transport hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 1 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-lumathread-stage-6"", ""stageId"": ""lumathread-stage-6"", ""title"": ""Retail and returns hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}, {""id"": ""hotspot-lumathread-stage-7"", ""stageId"": ""lumathread-stage-7"", ""title"": ""Use and end of life hotspot candidate"", ""description"": ""Review this stage before prioritising problems on Page 5."", ""type"": ""multi-impact"", ""impactDimensions"": [], ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""severity"": ""medium"", ""uncertainty"": ""high"", ""confidence"": ""medium""}]"
lumathread,LumaThread Apparel,leveragePoints,"[{""id"": ""leverage-lumathread-rel-2"", ""relationshipId"": ""lumathread-rel-2"", ""title"": ""Fibre production to Textile processing"", ""description"": ""Fibre production affects Textile processing through dependency."", ""leverageType"": ""dependency"", ""rationale"": ""Suggested because the map shows a dependency that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""high"", ""confidence"": ""low"", ""relationshipType"": ""Dependency"", ""nonAdjacent"": false}, {""id"": ""leverage-lumathread-rel-3"", ""relationshipId"": ""lumathread-rel-3"", ""title"": ""Textile processing to Garment manufacturing"", ""description"": ""Textile processing affects Garment manufacturing through delay."", ""leverageType"": ""delay"", ""rationale"": ""Suggested because the map shows a delay that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Delay"", ""nonAdjacent"": false}, {""id"": ""leverage-lumathread-rel-4"", ""relationshipId"": ""lumathread-rel-4"", ""title"": ""Garment manufacturing to Buying and planning"", ""description"": ""Garment manufacturing affects Buying and planning through trade-off."", ""leverageType"": ""trade-off"", ""rationale"": ""Suggested because the map shows a trade-off that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Trade-off"", ""nonAdjacent"": false}, {""id"": ""leverage-lumathread-rel-5"", ""relationshipId"": ""lumathread-rel-5"", ""title"": ""Buying and planning to Transport"", ""description"": ""Buying and planning affects Transport through bottleneck."", ""leverageType"": ""bottleneck"", ""rationale"": ""Suggested because the map shows a bottleneck that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""high"", ""uncertainty"": ""high"", ""confidence"": ""low"", ""relationshipType"": ""Bottleneck"", ""nonAdjacent"": false}, {""id"": ""leverage-lumathread-rel-6"", ""relationshipId"": ""lumathread-rel-6"", ""title"": ""Transport to Retail and returns"", ""description"": ""Transport affects Retail and returns through feedback loop."", ""leverageType"": ""feedback_loop"", ""rationale"": ""Suggested because the map shows a feedback loop that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""high"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Feedback loop"", ""nonAdjacent"": false}, {""id"": ""leverage-lumathread-rel-7"", ""relationshipId"": ""lumathread-rel-7"", ""title"": ""Retail and returns to Use and end of life"", ""description"": ""Retail and returns affects Use and end of life through risk transfer."", ""leverageType"": ""risk_transfer"", ""rationale"": ""Suggested because the map shows a risk transfer that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""review"", ""uncertainty"": ""high"", ""confidence"": ""low"", ""relationshipType"": ""Risk transfer"", ""nonAdjacent"": false}, {""id"": ""leverage-lumathread-rel-feedback-final"", ""relationshipId"": ""lumathread-rel-feedback-final"", ""title"": ""Retail and returns to Textile processing"", ""description"": ""Retail and returns affects Textile processing through feedback loop."", ""leverageType"": ""feedback_loop"", ""rationale"": ""Suggested because the map shows a feedback loop that may change downstream outcomes or reveal where a safe-to-fail intervention belongs."", ""expectedInfluence"": ""high"", ""uncertainty"": ""medium"", ""confidence"": ""medium"", ""relationshipType"": ""Feedback loop"", ""nonAdjacent"": true}]"
lumathread,LumaThread Apparel,problemSignals,"[{""id"": ""impact-problem-lumathread-stage-1"", ""stageId"": ""lumathread-stage-1"", ""title"": ""Fibre production may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Fibre production."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-lumathread-stage-2"", ""stageId"": ""lumathread-stage-2"", ""title"": ""Textile processing may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Textile processing."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-lumathread-stage-3"", ""stageId"": ""lumathread-stage-3"", ""title"": ""Garment manufacturing may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Garment manufacturing."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-lumathread-stage-4"", ""stageId"": ""lumathread-stage-4"", ""title"": ""Buying and planning may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Buying and planning."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-lumathread-stage-5"", ""stageId"": ""lumathread-stage-5"", ""title"": ""Transport may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Transport."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 1 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-lumathread-stage-6"", ""stageId"": ""lumathread-stage-6"", ""title"": ""Retail and returns may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Retail and returns."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-lumathread-stage-7"", ""stageId"": ""lumathread-stage-7"", ""title"": ""Use and end of life may need prioritisation"", ""description"": ""This signal is generated from mapped impacts and uncertainties at Use and end of life."", ""type"": ""journey_hotspot"", ""rationale"": ""Suggested because this stage has 3 mapped impact items, 1 uncertainty items and 2 stakeholder entries."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-stakeholder-power-may-need-deeper-human-enquiry"", ""stageId"": null, ""title"": ""Stakeholder Power may need deeper human enquiry"", ""description"": ""Stakeholder Power is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Human question 17 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-capability-and-behaviour-may-need-deeper-human-enquiry"", ""stageId"": null, ""title"": ""Capability and Behaviour may need deeper human enquiry"", ""description"": ""Capability and Behaviour is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Human question 18 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-equity-and-wellbeing-may-need-deeper-human-enquiry"", ""stageId"": null, ""title"": ""Equity and Wellbeing may need deeper human enquiry"", ""description"": ""Equity and Wellbeing is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Human question 19 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-environmental-impact-may-need-ecological-systems-mapping"", ""stageId"": null, ""title"": ""Environmental Impact may need ecological systems mapping"", ""description"": ""Environmental Impact is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Planetary question 30 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-natural-dependencies-may-need-ecological-systems-mapping"", ""stageId"": null, ""title"": ""Natural Dependencies may need ecological systems mapping"", ""description"": ""Natural Dependencies is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Planetary question 31 and must be checked against the journey map."", ""confidence"": ""medium""}, {""id"": ""impact-problem-page3-evidence-and-limits-may-need-ecological-systems-mapping"", ""stageId"": null, ""title"": ""Evidence and Limits may need ecological systems mapping"", ""description"": ""Evidence and Limits is marked as light with medium confidence."", ""type"": ""page3_import"", ""rationale"": ""Imported from Planetary question 32 and must be checked against the journey map."", ""confidence"": ""medium""}]"
