company_id,company,asset_stage,asset_name,asset_value
northforge,Northforge Components Ltd,prototype,strategySummary,"{""pathways"": 1, ""primaryPathways"": 1, ""decisions"": [""experiment""]}"
northforge,Northforge Components Ltd,prototype,experimentPack,"[{""pathwayId"": ""northforge-pathway-1"", ""title"": ""Purchased-metal emissions"", ""hypothesis"": ""A low-carbon aluminium supplier can reduce embodied emissions without unacceptable cost or quality impacts."", ""owner"": ""Head of Engineering"", ""reviewDate"": ""2026-09-07"", ""decisionThreshold"": ""At least 25 percent embodied-carbon reduction with less than 5 percent cost increase and no quality failure"", ""safeToFail"": [""Safety, fairness and evidence quality""]}]"
northforge,Northforge Components Ltd,prototype,threeHorizonsRoadmap,"[{""pathwayId"": ""northforge-pathway-1"", ""horizons"": [{""type"": ""h1"", ""title"": ""Horizon 1"", ""timeframe"": ""0-3 months"", ""objective"": ""Run prototype"", ""actions"": [""Confirm scope"", ""Collect evidence""], ""owner"": ""Head of Engineering"", ""decisionDate"": ""2026-09-07""}, {""type"": ""h2"", ""title"": ""Horizon 2"", ""timeframe"": ""3-12 months"", ""objective"": ""Iterate or expand"", ""actions"": [""Review result"", ""Adjust design""], ""owner"": ""Head of Engineering"", ""decisionDate"": """"}, {""type"": ""h3"", ""title"": ""Horizon 3"", ""timeframe"": ""12+ months"", ""objective"": ""Scale if evidence supports"", ""actions"": [""Build capability"", ""Set governance""], ""owner"": ""Head of Engineering"", ""decisionDate"": """"}]}]"
northforge,Northforge Components Ltd,prototype,learningPlan,"[{""pathwayId"": ""northforge-pathway-1"", ""learningObjective"": ""Supplier and material evidence"", ""decisionThreshold"": ""At least 25 percent embodied-carbon reduction with less than 5 percent cost increase and no quality failure""}]"
northforge,Northforge Components Ltd,prototype,metricPlan,"[{""pathwayId"": ""northforge-pathway-1"", ""metrics"": [{""name"": ""Product carbon estimate, defect rate, unit cost and lead time"", ""category"": ""learning"", ""unit"": ""mixed evidence set"", ""baseline"": ""Current baseline to be confirmed before launch"", ""target"": ""At least 25 percent embodied-carbon reduction with less than 5 percent cost increase and no quality failure"", ""owner"": ""Head of Engineering"", ""frequency"": ""baseline, midpoint and final review"", ""dataSource"": ""Operational data, stakeholder feedback and prototype evidence log""}, {""name"": ""Human outcome protected"", ""category"": ""outcome"", ""unit"": ""guardrail status"", ""baseline"": ""No explicit guardrail tested"", ""target"": ""No material harm to affected stakeholders"", ""owner"": ""Head of Engineering"", ""frequency"": ""weekly during prototype"", ""dataSource"": ""Participant feedback and issue log""}]}]"
northforge,Northforge Components Ltd,prototype,riskRegister,"[{""pathwayId"": ""northforge-pathway-1"", ""risks"": [{""category"": ""sector-specific"", ""description"": ""Certification or quality failure"", ""likelihood"": 3, ""severity"": 3, ""mitigation"": ""Assign Head of Engineering as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached."", ""owner"": ""Head of Engineering"", ""watchSignal"": ""Unexpected harm, weak evidence, delay or stakeholder objection"", ""stopCondition"": ""Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached""}]}]"
northforge,Northforge Components Ltd,prioritisation,rankedProblemIds,"[""northforge-problem-1"", ""northforge-problem-2"", ""northforge-problem-4"", ""northforge-problem-5"", ""northforge-problem-3""]"
northforge,Northforge Components Ltd,prioritisation,duplicatePairs,[]
northforge,Northforge Components Ltd,prioritisation,recommendations,"[{""problemId"": ""northforge-problem-1"", ""category"": ""investigate"", ""action"": ""Design experiment"", ""rationale"": ""Investigate is suggested because impact, strategic, leverage are the strongest score drivers, while the problem is classified as complex and light green. The main constraint is confidence, effort. Missing perspective evidence: human."", ""confidence"": ""low"", ""whyThis"": ""Investigate is suggested because impact, strategic, leverage are the strongest score drivers, while the problem is classified as complex and light green. The main constraint is confidence, effort. Missing perspective evidence: human."", ""sourceEvidence"": {""business"": [""supplier""], ""human"": [], ""planetary"": [""carbon"", ""emissions"", ""material""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-1"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""human""], ""integrationStatus"": ""needs explicit review""}, ""scoreTrace"": {""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 73, ""contributions"": [{""factor"": ""impact"", ""score"": 5, ""weight"": 20, ""contribution"": 100, ""direction"": ""raises"", ""explanation"": ""Impact is very high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Leverage is very high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Readiness is moderate and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 4, ""weight"": 5, ""contribution"": 20, ""direction"": ""raises"", ""explanation"": ""Stakeholder is high and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 4, ""weight"": 10, ""contribution"": -40, ""direction"": ""lowers"", ""explanation"": ""Effort is high and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""confidence"", ""effort""]}, ""uncertainty"": ""Low-confidence or missing perspective evidence should be tested before scaling."", ""excludedBecause"": ""Not excluded; included in ranked portfolio for user review.""}, {""problemId"": ""northforge-problem-2"", ""category"": ""act_now"", ""action"": ""Proceed to structured decision"", ""rationale"": ""Act Now is suggested because impact, strategic, influence are the strongest score drivers, while the problem is classified as complicated and mid green. The main constraint is stakeholder. Missing perspective evidence: human."", ""confidence"": ""high"", ""whyThis"": ""Act Now is suggested because impact, strategic, influence are the strongest score drivers, while the problem is classified as complicated and mid green. The main constraint is stakeholder. Missing perspective evidence: human."", ""sourceEvidence"": {""business"": [""operations""], ""human"": [], ""planetary"": [""carbon"", ""energy""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-2"", ""sourceStages"": [], ""evidenceSummary"": ""high"", ""confidence"": 5, ""missingPerspectives"": [""human""], ""integrationStatus"": ""needs explicit review""}, ""scoreTrace"": {""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 68, ""contributions"": [{""factor"": ""impact"", ""score"": 3, ""weight"": 20, ""contribution"": 60, ""direction"": ""neutral"", ""explanation"": ""Impact is moderate and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Strategic is high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 3, ""weight"": 15, ""contribution"": 45, ""direction"": ""neutral"", ""explanation"": ""Leverage is moderate and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Influence is very high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Readiness is high and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 5, ""weight"": 10, ""contribution"": 50, ""direction"": ""raises"", ""explanation"": ""Confidence is very high and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 2, ""weight"": 5, ""contribution"": 10, ""direction"": ""limits"", ""explanation"": ""Stakeholder is low and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 3, ""weight"": 10, ""contribution"": -30, ""direction"": ""neutral"", ""explanation"": ""Effort is moderate and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""influence""], ""mainConstraints"": [""stakeholder""]}, ""uncertainty"": ""Low-confidence or missing perspective evidence should be tested before scaling."", ""excludedBecause"": ""Not excluded; included in ranked portfolio for user review.""}, {""problemId"": ""northforge-problem-4"", ""category"": ""investigate"", ""action"": ""Design experiment"", ""rationale"": ""Investigate is suggested because impact, strategic, leverage are the strongest score drivers, while the problem is classified as complex and light green. The main constraint is readiness, confidence. Missing perspective evidence: human."", ""confidence"": ""low"", ""whyThis"": ""Investigate is suggested because impact, strategic, leverage are the strongest score drivers, while the problem is classified as complex and light green. The main constraint is readiness, confidence. Missing perspective evidence: human."", ""sourceEvidence"": {""business"": [""supplier"", ""quality""], ""human"": [], ""planetary"": [""carbon""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-4"", ""sourceStages"": [], ""evidenceSummary"": ""low"", ""confidence"": 2, ""missingPerspectives"": [""human""], ""integrationStatus"": ""needs explicit review""}, ""scoreTrace"": {""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 68, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Strategic is very high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 5, ""weight"": 15, ""contribution"": 75, ""direction"": ""raises"", ""explanation"": ""Leverage is very high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Urgency is high and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Readiness is low and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Confidence is low and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Stakeholder is moderate and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 3, ""weight"": 10, ""contribution"": -30, ""direction"": ""neutral"", ""explanation"": ""Effort is moderate and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""readiness"", ""confidence""]}, ""uncertainty"": ""Low-confidence or missing perspective evidence should be tested before scaling."", ""excludedBecause"": ""Not excluded; included in ranked portfolio for user review.""}, {""problemId"": ""northforge-problem-5"", ""category"": ""experiment"", ""action"": ""Design experiment"", ""rationale"": ""Experiment is suggested because impact, strategic, leverage are the strongest score drivers, while the problem is classified as complex and mid green. The main constraint is readiness, stakeholder, effort. Missing perspective evidence: business, human."", ""confidence"": ""medium"", ""whyThis"": ""Experiment is suggested because impact, strategic, leverage are the strongest score drivers, while the problem is classified as complex and mid green. The main constraint is readiness, stakeholder, effort. Missing perspective evidence: business, human."", ""sourceEvidence"": {""business"": [], ""human"": [], ""planetary"": [""carbon""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-5"", ""sourceStages"": [], ""evidenceSummary"": ""medium"", ""confidence"": 3, ""missingPerspectives"": [""business"", ""human""], ""integrationStatus"": ""needs explicit review""}, ""scoreTrace"": {""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 57, ""contributions"": [{""factor"": ""impact"", ""score"": 4, ""weight"": 20, ""contribution"": 80, ""direction"": ""raises"", ""explanation"": ""Impact is high and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Strategic is high and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 4, ""weight"": 15, ""contribution"": 60, ""direction"": ""raises"", ""explanation"": ""Leverage is high and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Urgency is moderate and carries weight 10.""}, {""factor"": ""influence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Influence is moderate and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Readiness is low and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Confidence is moderate and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 2, ""weight"": 5, ""contribution"": 10, ""direction"": ""limits"", ""explanation"": ""Stakeholder is low and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 5, ""weight"": 10, ""contribution"": -50, ""direction"": ""lowers"", ""explanation"": ""Effort is very high and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""impact"", ""strategic"", ""leverage""], ""mainConstraints"": [""readiness"", ""stakeholder"", ""effort""]}, ""uncertainty"": ""Low-confidence or missing perspective evidence should be tested before scaling."", ""excludedBecause"": ""Not excluded; included in ranked portfolio for user review.""}, {""problemId"": ""northforge-problem-3"", ""category"": ""monitor"", ""action"": ""Proceed to structured decision"", ""rationale"": ""Monitor is suggested because strategic, leverage, impact are the strongest score drivers, while the problem is classified as complicated and mid green. The main constraint is impact, urgency. Missing perspective evidence: business."", ""confidence"": ""medium"", ""whyThis"": ""Monitor is suggested because strategic, leverage, impact are the strongest score drivers, while the problem is classified as complicated and mid green. The main constraint is impact, urgency. Missing perspective evidence: business."", ""sourceEvidence"": {""business"": [], ""human"": [""employee""], ""planetary"": [""carbon""], ""source"": ""dummy-fixture"", ""sourceObjectId"": ""northforge-problem-3"", ""sourceStages"": [], ""evidenceSummary"": ""medium"", ""confidence"": 3, ""missingPerspectives"": [""business""], ""integrationStatus"": ""needs explicit review""}, ""scoreTrace"": {""formula"": ""weighted positive factors minus effort penalty, divided by five"", ""overall"": 54, ""contributions"": [{""factor"": ""impact"", ""score"": 2, ""weight"": 20, ""contribution"": 40, ""direction"": ""limits"", ""explanation"": ""Impact is low and carries weight 20.""}, {""factor"": ""strategic"", ""score"": 3, ""weight"": 15, ""contribution"": 45, ""direction"": ""neutral"", ""explanation"": ""Strategic is moderate and carries weight 15.""}, {""factor"": ""leverage"", ""score"": 3, ""weight"": 15, ""contribution"": 45, ""direction"": ""neutral"", ""explanation"": ""Leverage is moderate and carries weight 15.""}, {""factor"": ""urgency"", ""score"": 2, ""weight"": 10, ""contribution"": 20, ""direction"": ""limits"", ""explanation"": ""Urgency is low and carries weight 10.""}, {""factor"": ""influence"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Influence is high and carries weight 10.""}, {""factor"": ""readiness"", ""score"": 4, ""weight"": 10, ""contribution"": 40, ""direction"": ""raises"", ""explanation"": ""Readiness is high and carries weight 10.""}, {""factor"": ""confidence"", ""score"": 3, ""weight"": 10, ""contribution"": 30, ""direction"": ""neutral"", ""explanation"": ""Confidence is moderate and carries weight 10.""}, {""factor"": ""stakeholder"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Stakeholder is moderate and carries weight 5.""}, {""factor"": ""learning"", ""score"": 3, ""weight"": 5, ""contribution"": 15, ""direction"": ""neutral"", ""explanation"": ""Learning is moderate and carries weight 5.""}, {""factor"": ""effort"", ""score"": 2, ""weight"": 10, ""contribution"": -20, ""direction"": ""supports feasibility"", ""explanation"": ""Effort is low and is treated as a delivery penalty.""}], ""topPositiveFactors"": [""strategic"", ""leverage"", ""impact""], ""mainConstraints"": [""impact"", ""urgency""]}, ""uncertainty"": ""Low-confidence or missing perspective evidence should be tested before scaling."", ""excludedBecause"": ""Not excluded; included in ranked portfolio for user review.""}]"
northforge,Northforge Components Ltd,prioritisation,clusters,"[{""title"": ""Materials and suppliers"", ""problemIds"": [""northforge-problem-1""], ""rationale"": ""Grouped by shared topic, stage or capability language."", ""confidence"": ""medium""}, {""title"": ""Operations"", ""problemIds"": [""northforge-problem-2""], ""rationale"": ""Grouped by shared topic, stage or capability language."", ""confidence"": ""medium""}, {""title"": ""People"", ""problemIds"": [""northforge-problem-3""], ""rationale"": ""Grouped by shared topic, stage or capability language."", ""confidence"": ""medium""}, {""title"": ""Evidence"", ""problemIds"": [""northforge-problem-4""], ""rationale"": ""Grouped by shared topic, stage or capability language."", ""confidence"": ""medium""}, {""title"": ""Innovation"", ""problemIds"": [""northforge-problem-5""], ""rationale"": ""Grouped by shared topic, stage or capability language."", ""confidence"": ""medium""}]"
