company_id,company,id,title,stageId,description,severity,confidence,control
northforge,Northforge Components Ltd,northforge-signal-1,High embodied carbon and mining impacts,northforge-stage-1,High embodied carbon and mining impacts during Steel and aluminium production.,4,low,low
northforge,Northforge Components Ltd,northforge-signal-2,Material source and data quality,northforge-stage-2,Material source and data quality during Supplier contracting.,4,medium,medium
northforge,Northforge Components Ltd,northforge-signal-3,Fuel use and emissions,northforge-stage-3,Fuel use and emissions during European freight.,4,low,medium
northforge,Northforge Components Ltd,northforge-signal-4,"Energy use, scrap and lubricants",northforge-stage-4,"Energy use, scrap and lubricants during Machining and heat processes.",3,high,high
northforge,Northforge Components Ltd,northforge-signal-5,Material substitution constraints,northforge-stage-5,Material substitution constraints during Testing and certification.,3,high,high
northforge,Northforge Components Ltd,northforge-signal-6,Efficiency implications,northforge-stage-6,Efficiency implications during Components in machinery.,3,low,low
northforge,Northforge Components Ltd,northforge-signal-7,Recovery potential,northforge-stage-7,Recovery potential during Metal recycling.,3,medium,low
lumathread,LumaThread Apparel,lumathread-signal-1,"Water, land and fossil materials",lumathread-stage-1,"Water, land and fossil materials during Cotton and synthetic fibre sourcing.",4,low,low
lumathread,LumaThread Apparel,lumathread-signal-2,"Chemical, water and energy impacts",lumathread-stage-2,"Chemical, water and energy impacts during Dyeing and finishing.",4,low,medium
lumathread,LumaThread Apparel,lumathread-signal-3,Labour conditions and wages,lumathread-stage-3,Labour conditions and wages during Cut-make-trim production.,4,medium,medium
lumathread,LumaThread Apparel,lumathread-signal-4,Overproduction and supplier pressure,lumathread-stage-4,Overproduction and supplier pressure during Collection planning.,3,medium,high
lumathread,LumaThread Apparel,lumathread-signal-5,Air freight emissions,lumathread-stage-5,Air freight emissions during Freight recovery.,3,low,medium
lumathread,LumaThread Apparel,lumathread-signal-6,"Packaging, unsold goods and returns",lumathread-stage-6,"Packaging, unsold goods and returns during Sales and reverse logistics.",3,medium,high
lumathread,LumaThread Apparel,lumathread-signal-7,Durability and poor recycling,lumathread-stage-7,Durability and poor recycling during Washing and disposal.,3,low,low
evergreen,Evergreen Bank,evergreen-signal-1,Transition finance and exclusion risk,evergreen-stage-1,Transition finance and exclusion risk during Lending criteria.,4,high,high
evergreen,Evergreen Bank,evergreen-signal-2,Fairness and evidence burden,evergreen-stage-2,Fairness and evidence burden during Data request and affordability review.,4,medium,high
evergreen,Evergreen Bank,evergreen-signal-3,Financed emissions and risk,evergreen-stage-3,Financed emissions and risk during Capital allocation.,4,high,high
evergreen,Evergreen Bank,evergreen-signal-4,Transition support quality,evergreen-stage-4,Transition support quality during Covenants and support.,3,medium,medium
evergreen,Evergreen Bank,evergreen-signal-5,Data quality and accountability,evergreen-stage-5,Data quality and accountability during Progress and data review.,3,medium,medium
evergreen,Evergreen Bank,evergreen-signal-6,Opportunity to improve terms,evergreen-stage-6,Opportunity to improve terms during Terms adjustment.,3,medium,medium
evergreen,Evergreen Bank,evergreen-signal-7,Investor and regulatory scrutiny,evergreen-stage-7,Investor and regulatory scrutiny during Regulatory disclosure.,3,high,high
civiccare,CivicCare Health Trust,civiccare-signal-1,Upstream product impacts,civiccare-stage-1,"Upstream product impacts during Medicines, devices and consumables.",4,medium,medium
civiccare,CivicCare Health Trust,civiccare-signal-2,Transport emissions and equity,civiccare-stage-2,Transport emissions and equity during Access to care.,4,medium,medium
civiccare,CivicCare Health Trust,civiccare-signal-3,High climate impact and safety constraints,civiccare-stage-3,High climate impact and safety constraints during Anaesthetic gases and single-use items.,4,medium,high
civiccare,CivicCare Health Trust,civiccare-signal-4,Energy and water impacts,civiccare-stage-4,"Energy and water impacts during Heat, electricity and water.",3,high,high
civiccare,CivicCare Health Trust,civiccare-signal-5,Hazardous waste,civiccare-stage-5,Hazardous waste during Clinical disposal.,3,medium,medium
civiccare,CivicCare Health Trust,civiccare-signal-6,Travel and access trade-offs,civiccare-stage-6,Travel and access trade-offs during Decentralised care.,3,medium,medium
civiccare,CivicCare Health Trust,civiccare-signal-7,Upstream evidence quality,civiccare-stage-7,Upstream evidence quality during Evidence requests.,3,low,low
terrabite,TerraBite Foods,terrabite-signal-1,"Soil, water, fertiliser and biodiversity",terrabite-stage-1,"Soil, water, fertiliser and biodiversity during Ingredient production.",4,medium,low
terrabite,TerraBite Foods,terrabite-signal-2,Loss of traceability,terrabite-stage-2,Loss of traceability during Ingredient aggregation.,4,low,medium
terrabite,TerraBite Foods,terrabite-signal-3,"Energy, water and food loss",terrabite-stage-3,"Energy, water and food loss during Food manufacturing.",4,medium,high
