company_id,company,pathway_id,category,description,likelihood,severity,mitigation,owner,watchSignal,stopCondition
northforge,Northforge Components Ltd,northforge-pathway-1,sector-specific,Certification or quality failure,3,3,"Assign Head of Engineering as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Head of Engineering,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
lumathread,LumaThread Apparel,lumathread-pathway-1,sector-specific,Teams avoid use because it slows buying decisions,3,3,"Assign Head of Buying as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Head of Buying,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
evergreen,Evergreen Bank,evergreen-pathway-1,sector-specific,Prompt becomes a compliance tick-box or creates exclusion bias,2,4,"Assign Head of Credit Risk as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Head of Credit Risk,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
civiccare,CivicCare Health Trust,civiccare-pathway-1,sector-specific,Clinical safety or acceptance concern,3,4,"Assign Clinical Sustainability Lead as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Clinical Sustainability Lead,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
terrabite,TerraBite Foods,terrabite-pathway-1,sector-specific,Supplier burden or low evidence quality,3,3,"Assign Agricultural Supply Lead as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Agricultural Supply Lead,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
urbanrise,UrbanRise Developments,urbanrise-pathway-1,sector-specific,Checkpoint is bypassed because of programme pressure,3,4,"Assign Design Director as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Design Director,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
cloudspring,CloudSpring Technologies,cloudspring-pathway-1,sector-specific,Energy estimates are too uncertain to guide decisions,3,3,"Assign Platform Engineering Lead as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Platform Engineering Lead,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
loophome,LoopHome Circular Services,loophome-pathway-1,sector-specific,Customer dissatisfaction or reduced accessibility,3,3,"Assign Customer Operations Lead as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Customer Operations Lead,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
citymotion,CityMotion Transit Authority,citymotion-pathway-1,sector-specific,Reliability or accessibility worsens,2,4,"Assign Fleet Transition Programme Lead as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Fleet Transition Programme Lead,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
medigen,Medigen Laboratories,medigen-pathway-1,sector-specific,"Safety, quality or regulatory issue",2,4,"Assign Laboratory Operations Lead as accountable owner, set a pre-launch baseline, and stop if the guardrail is breached.",Laboratory Operations Lead,"Unexpected harm, weak evidence, delay or stakeholder objection","Stop or redesign if safety, fairness, quality, access or evidence thresholds are breached"
