company_id,company,stage_id,sequence,stage_name,description,activities,stakeholders,business_effects,human_effects,planetary_effects,decision_points,control,evidence_quality,unknowns
northforge,Northforge Components Ltd,northforge-stage-1,1,Raw materials,High embodied carbon and mining impacts,"[""Steel and aluminium production""]","[""Metal suppliers"", ""mining communities""]","[""High embodied carbon and mining impacts""]","[""Stakeholder effect: Metal suppliers, mining communities""]","[""High embodied carbon and mining impacts""]","[""Decision at Raw materials""]",low,low,"[""Evidence gap at Raw materials""]"
northforge,Northforge Components Ltd,northforge-stage-2,2,Supplier selection,Material source and data quality,"[""Supplier contracting""]","[""Procurement"", ""suppliers""]","[""Material source and data quality""]","[""Stakeholder effect: Procurement, suppliers""]","[""Material source and data quality""]","[""Decision at Supplier selection""]",medium,medium,"[""Evidence gap at Supplier selection""]"
northforge,Northforge Components Ltd,northforge-stage-3,3,Transport,Fuel use and emissions,"[""European freight""]","[""Logistics providers""]","[""Fuel use and emissions""]","[""Stakeholder effect: Logistics providers""]","[""Fuel use and emissions""]","[""Decision at Transport""]",medium,low,"[""Evidence gap at Transport""]"
northforge,Northforge Components Ltd,northforge-stage-4,4,Manufacturing,"Energy use, scrap and lubricants","[""Machining and heat processes""]","[""Operations"", ""workers""]","[""Energy use, scrap and lubricants""]","[""Stakeholder effect: Operations, workers""]","[""Energy use, scrap and lubricants""]","[""Decision at Manufacturing""]",high,high,[]
northforge,Northforge Components Ltd,northforge-stage-5,5,Quality control,Material substitution constraints,"[""Testing and certification""]","[""Engineers"", ""customers""]","[""Material substitution constraints""]","[""Stakeholder effect: Engineers, customers""]","[""Material substitution constraints""]","[""Decision at Quality control""]",high,high,[]
northforge,Northforge Components Ltd,northforge-stage-6,6,Customer use,Efficiency implications,"[""Components in machinery""]","[""Customers""]","[""Efficiency implications""]","[""Stakeholder effect: Customers""]","[""Efficiency implications""]","[""Decision at Customer use""]",low,low,"[""Evidence gap at Customer use""]"
northforge,Northforge Components Ltd,northforge-stage-7,7,End of life,Recovery potential,"[""Metal recycling""]","[""Recyclers"", ""customers""]","[""Recovery potential""]","[""Stakeholder effect: Recyclers, customers""]","[""Recovery potential""]","[""Decision at End of life""]",low,medium,"[""Evidence gap at End of life""]"
lumathread,LumaThread Apparel,lumathread-stage-1,1,Fibre production,"Water, land and fossil materials","[""Cotton and synthetic fibre sourcing""]","[""Farmers"", ""fibre suppliers""]","[""Water, land and fossil materials""]","[""Stakeholder effect: Farmers, fibre suppliers""]","[""Water, land and fossil materials""]","[""Decision at Fibre production""]",low,low,"[""Evidence gap at Fibre production""]"
lumathread,LumaThread Apparel,lumathread-stage-2,2,Textile processing,"Chemical, water and energy impacts","[""Dyeing and finishing""]","[""Mills"", ""workers""]","[""Chemical, water and energy impacts""]","[""Stakeholder effect: Mills, workers""]","[""Chemical, water and energy impacts""]","[""Decision at Textile processing""]",medium,low,"[""Evidence gap at Textile processing""]"
lumathread,LumaThread Apparel,lumathread-stage-3,3,Garment manufacturing,Labour conditions and wages,"[""Cut-make-trim production""]","[""Factory workers"", ""suppliers""]","[""Labour conditions and wages""]","[""Stakeholder effect: Factory workers, suppliers""]","[""Labour conditions and wages""]","[""Decision at Garment manufacturing""]",medium,medium,"[""Evidence gap at Garment manufacturing""]"
lumathread,LumaThread Apparel,lumathread-stage-4,4,Buying and planning,Overproduction and supplier pressure,"[""Collection planning""]","[""Buyers"", ""designers""]","[""Overproduction and supplier pressure""]","[""Stakeholder effect: Buyers, designers""]","[""Overproduction and supplier pressure""]","[""Decision at Buying and planning""]",high,medium,"[""Evidence gap at Buying and planning""]"
lumathread,LumaThread Apparel,lumathread-stage-5,5,Transport,Air freight emissions,"[""Freight recovery""]","[""Logistics teams""]","[""Air freight emissions""]","[""Stakeholder effect: Logistics teams""]","[""Air freight emissions""]","[""Decision at Transport""]",medium,low,"[""Evidence gap at Transport""]"
lumathread,LumaThread Apparel,lumathread-stage-6,6,Retail and returns,"Packaging, unsold goods and returns","[""Sales and reverse logistics""]","[""Customers"", ""stores""]","[""Packaging, unsold goods and returns""]","[""Stakeholder effect: Customers, stores""]","[""Packaging, unsold goods and returns""]","[""Decision at Retail and returns""]",high,medium,"[""Evidence gap at Retail and returns""]"
lumathread,LumaThread Apparel,lumathread-stage-7,7,Use and end of life,Durability and poor recycling,"[""Washing and disposal""]","[""Customers"", ""recyclers""]","[""Durability and poor recycling""]","[""Stakeholder effect: Customers, recyclers""]","[""Durability and poor recycling""]","[""Decision at Use and end of life""]",low,low,"[""Evidence gap at Use and end of life""]"
evergreen,Evergreen Bank,evergreen-stage-1,1,Product design,Transition finance and exclusion risk,"[""Lending criteria""]","[""Product"", ""risk"", ""customers""]","[""Transition finance and exclusion risk""]","[""Stakeholder effect: Product, risk, customers""]","[""Transition finance and exclusion risk""]","[""Decision at Product design""]",high,high,[]
evergreen,Evergreen Bank,evergreen-stage-2,2,Customer assessment,Fairness and evidence burden,"[""Data request and affordability review""]","[""Relationship managers"", ""SMEs""]","[""Fairness and evidence burden""]","[""Stakeholder effect: Relationship managers, SMEs""]","[""Fairness and evidence burden""]","[""Decision at Customer assessment""]",high,medium,"[""Evidence gap at Customer assessment""]"
evergreen,Evergreen Bank,evergreen-stage-3,3,Credit decision,Financed emissions and risk,"[""Capital allocation""]","[""Credit committee""]","[""Financed emissions and risk""]","[""Stakeholder effect: Credit committee""]","[""Financed emissions and risk""]","[""Decision at Credit decision""]",high,high,[]
evergreen,Evergreen Bank,evergreen-stage-4,4,Loan conditions,Transition support quality,"[""Covenants and support""]","[""Customers"", ""legal""]","[""Transition support quality""]","[""Stakeholder effect: Customers, legal""]","[""Transition support quality""]","[""Decision at Loan conditions""]",medium,medium,"[""Evidence gap at Loan conditions""]"
evergreen,Evergreen Bank,evergreen-stage-5,5,Monitoring,Data quality and accountability,"[""Progress and data review""]","[""Risk"", ""customers""]","[""Data quality and accountability""]","[""Stakeholder effect: Risk, customers""]","[""Data quality and accountability""]","[""Decision at Monitoring""]",medium,medium,"[""Evidence gap at Monitoring""]"
