company_id,company,empathy,question_id,area,maturity,confidence,scope,evidence,notes,impact_signal,flags,supports,uncertain,important,carry_forward_actions
northforge,Northforge Components Ltd,business,1,Strategy and Purpose,light,medium,Whole organisation,medium fixture evidence,"Customer cost pressure, energy volatility, strict certification and growing carbon-data requirements shape decisions.",Identify where to focus carbon-reduction activity,"[""Strategically important""]","Customer cost pressure, energy volatility, strict certification and growing carbon-data requirements shape decisions.",Evidence quality varies by stage and stakeholder group.,Identify where to focus carbon-reduction activity,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,business,2,Finance and Investment,light,medium,Whole organisation,medium fixture evidence,Commercial pressure and cost constraints affect sustainability choices.,Financial constraint,"[""Strategically important""]",Commercial pressure and cost constraints affect sustainability choices.,Evidence quality varies by stage and stakeholder group.,Financial constraint,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,business,3,Operations and Delivery,light,medium,Whole organisation,medium fixture evidence,Operational routines and incentives shape delivery choices.,Operational leverage,"[""Strategically important""]",Operational routines and incentives shape delivery choices.,Evidence quality varies by stage and stakeholder group.,Operational leverage,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,human,17,Stakeholder Power,light,medium,Whole organisation,medium fixture evidence,"Factory workers, engineers, procurement teams, suppliers and upstream communities are affected; procurement and customers hold most power.",Power and participation imbalance,"[""Strategically important""]","Factory workers, engineers, procurement teams, suppliers and upstream communities are affected; procurement and customers hold most power.",Evidence quality varies by stage and stakeholder group.,Power and participation imbalance,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,human,18,Capability and Behaviour,light,medium,Whole organisation,medium fixture evidence,"People need clearer roles, evidence and confidence to participate.",Capability gap,"[""Strategically important""]","People need clearer roles, evidence and confidence to participate.",Evidence quality varies by stage and stakeholder group.,Capability gap,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,human,19,Equity and Wellbeing,light,medium,Whole organisation,medium fixture evidence,Some groups experience impacts without strong decision power.,Fairness risk,"[""Strategically important""]",Some groups experience impacts without strong decision power.,Evidence quality varies by stage and stakeholder group.,Fairness risk,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,planetary,30,Environmental Impact,light,medium,Whole organisation,medium fixture evidence,"Purchased steel and aluminium, electricity, natural gas, lubricants and freight dominate impacts; supplier-specific evidence is weak.",Material environmental impact,"[""Strategically important""]","Purchased steel and aluminium, electricity, natural gas, lubricants and freight dominate impacts; supplier-specific evidence is weak.",Evidence quality varies by stage and stakeholder group.,Material environmental impact,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,planetary,31,Natural Dependencies,light,medium,Whole organisation,medium fixture evidence,"The organisation depends on stable resources, suppliers and operating conditions.",Dependency risk,"[""Strategically important""]","The organisation depends on stable resources, suppliers and operating conditions.",Evidence quality varies by stage and stakeholder group.,Dependency risk,"[""problem-signal"", ""impact-journey""]"
northforge,Northforge Components Ltd,planetary,32,Evidence and Limits,light,medium,Whole organisation,medium fixture evidence,Some lifecycle impacts remain poorly evidenced.,Evidence gap,"[""Strategically important""]",Some lifecycle impacts remain poorly evidenced.,Evidence quality varies by stage and stakeholder group.,Evidence gap,"[""problem-signal"", ""impact-journey""]"
lumathread,LumaThread Apparel,business,1,Strategy and Purpose,light,medium,Whole organisation,medium fixture evidence,"Brand, speed and affordability create value, but overproduction, returns and claim risk threaten reputation.",Improve traceability and reduce environmental and labour risk,"[""Strategically important""]","Brand, speed and affordability create value, but overproduction, returns and claim risk threaten reputation.",Evidence quality varies by stage and stakeholder group.,Improve traceability and reduce environmental and labour risk,"[""problem-signal"", ""impact-journey""]"
