company_id,company,problem_id,problem_title,factor,score,weight,contribution,direction,explanation
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,impact,5,20,100,raises,Impact is very high and carries weight 20.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,strategic,5,15,75,raises,Strategic is very high and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,leverage,5,15,75,raises,Leverage is very high and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,urgency,4,10,40,raises,Urgency is high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,influence,3,10,30,neutral,Influence is moderate and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,readiness,3,10,30,neutral,Readiness is moderate and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,confidence,2,10,20,limits,Confidence is low and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,stakeholder,4,5,20,raises,Stakeholder is high and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,learning,3,5,15,neutral,Learning is moderate and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-1,Purchased-metal emissions,effort,4,10,-40,lowers,Effort is high and is treated as a delivery penalty.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,impact,3,20,60,neutral,Impact is moderate and carries weight 20.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,strategic,4,15,60,raises,Strategic is high and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,leverage,3,15,45,neutral,Leverage is moderate and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,urgency,4,10,40,raises,Urgency is high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,influence,5,10,50,raises,Influence is very high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,readiness,4,10,40,raises,Readiness is high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,confidence,5,10,50,raises,Confidence is very high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,stakeholder,2,5,10,limits,Stakeholder is low and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,learning,3,5,15,neutral,Learning is moderate and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-2,Factory energy efficiency,effort,3,10,-30,neutral,Effort is moderate and is treated as a delivery penalty.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,impact,2,20,40,limits,Impact is low and carries weight 20.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,strategic,3,15,45,neutral,Strategic is moderate and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,leverage,3,15,45,neutral,Leverage is moderate and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,urgency,2,10,20,limits,Urgency is low and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,influence,4,10,40,raises,Influence is high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,readiness,4,10,40,raises,Readiness is high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,confidence,3,10,30,neutral,Confidence is moderate and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,stakeholder,3,5,15,neutral,Stakeholder is moderate and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,learning,3,5,15,neutral,Learning is moderate and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-3,Employee engagement,effort,2,10,-20,supports feasibility,Effort is low and is treated as a delivery penalty.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,impact,4,20,80,raises,Impact is high and carries weight 20.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,strategic,5,15,75,raises,Strategic is very high and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,leverage,5,15,75,raises,Leverage is very high and carries weight 15.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,urgency,4,10,40,raises,Urgency is high and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,influence,3,10,30,neutral,Influence is moderate and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,readiness,2,10,20,limits,Readiness is low and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,confidence,2,10,20,limits,Confidence is low and carries weight 10.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,stakeholder,3,5,15,neutral,Stakeholder is moderate and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,learning,3,5,15,neutral,Learning is moderate and carries weight 5.
northforge,Northforge Components Ltd,northforge-problem-4,Supplier data quality,effort,3,10,-30,neutral,Effort is moderate and is treated as a delivery penalty.
northforge,Northforge Components Ltd,northforge-problem-5,Product redesign constraints,impact,4,20,80,raises,Impact is high and carries weight 20.
northforge,Northforge Components Ltd,northforge-problem-5,Product redesign constraints,strategic,4,15,60,raises,Strategic is high and carries weight 15.
